Carimbo de data/hora,Entre com seu identificador de usuário (número do cartão UFRGS),Condição testada,Mission score,Driver level (número inteiro),Coins (moedas) no canto superior direito,Tempo cronometrado (em segundos),Acidentes,Quilometragem (travel distance),Deriva (drift length),Velocidade máxima (max. speed),Velocidade média (avg. speed)
8/10/2023 10:49:15,21,Condução por gesto (girando a tela),,,,,,,,,
8/10/2023 11:05:23,2,Condução por gesto (girando a tela),5706,1,335,103,7,7963,9,96,77
8/10/2023 11:06:44,21,Condução por gesto (girando a tela),7844,1,966,73,7,8267,25,81,55
8/10/2023 11:08:09,07,Condução por gesto (girando a tela),1871,1,229,4:32,14,5551,0,76,42
8/10/2023 11:11:52,2,Por tela touch (tocando com o dedo para girar o volante),5330,1,644,92,8,12km,9m,96,79
8/10/2023 11:13:32,21,Por tela touch (tocando com o dedo para girar o volante),6391,1,1243,86,16,11,25,85,55
8/10/2023 11:14:52,17,Por tela touch (tocando com o dedo para girar o volante),6192,"49,07",475,96,1,7639,0,72,46
8/10/2023 11:17:12,8,Condução por gesto (girando a tela),4893,1,442,94,0,7687,0,80,47
8/10/2023 11:17:15,12,Condução por gesto (girando a tela),4498,1,424,104,0,8640,2,81,43
8/10/2023 11:17:45,11,Condução por gesto (girando a tela),3451,1,343,130,2,7511,5,82,46
8/10/2023 11:18:23,13,Por tela touch (tocando com o dedo para girar o volante),6063,40,398,62,7,5924,,,
8/10/2023 11:18:24,07,Condução por gesto (girando a tela),2315,1,332,1:56,16,8867,0,82,42
8/10/2023 11:20:13,8,Por tela touch (tocando com o dedo para girar o volante),4214,1,508,101,5,7687,0,80,47
8/10/2023 11:21:41,04,Condução por gesto (girando a tela),6320,1,253,90,0,1231,0,90,62
8/10/2023 11:21:46,05,Condução por gesto (girando a tela),5912,1,749,1:40,9,13km,25m,94km/h,52km/h
8/10/2023 11:22:13,12,Por tela touch (tocando com o dedo para girar o volante),1879,1,1106,121,0,9871,2,81,43
8/10/2023 11:23:12,22,Por tela touch (tocando com o dedo para girar o volante),3787,1,245,7980,0,1229,0,74,47
8/10/2023 11:23:24,01,Por tela touch (tocando com o dedo para girar o volante),5857,1,534,84,18,18,0,92,60
8/10/2023 11:23:56,10,Por tela touch (tocando com o dedo para girar o volante),785,36,669,115,0,10km,1m,93,37
8/10/2023 11:25:20,18,Condução por gesto (girando a tela),6733,86,1311,164,20,14,47,89,51
8/10/2023 11:25:25,05,Por tela touch (tocando com o dedo para girar o volante),4485,1,1364,1:50,9,14km,25m,94kmh,51kmh
8/10/2023 11:26:15,22,Condução por gesto (girando a tela),5071,1,296,7560,0,2459,0,77,49
8/10/2023 11:26:43,14,Por tela touch (tocando com o dedo para girar o volante),5024,1,1238,350,25,14,4,89,56
